PC_ID,UTM_E,UTM_N,n_1,n_2,n_3,n_4,n_5,Year,Study_Area,SA_CAT,County,RavenDensity
BC01,441477,4970303,0,0,0,0,0,2017,Baker,Baker,Baker,0.977134883
BC02,441542,4989019,NA,0,0,0,0,2017,Baker,Baker,Baker,0.396172106
BC03,481713,4959980,0,0,0,0,0,2017,Baker,Baker,Baker,1.01550889
BC04,473156,4966935,0,0,0,0,0,2017,Baker,Baker,Baker,0.495933771
BC05,451163,4973509,NA,0,0,0,1,2017,Baker,Baker,Baker,0.806027651
BC06,459510,4946667,NA,NA,NA,0,0,2017,Baker,Baker,Baker,0.632067561
BC07,455867,4957080,NA,0,0,0,0,2017,Baker,Baker,Baker,0.861923635
BC08,436054,4977007,0,0,0,0,0,2017,Baker,Baker,Baker,0.5776636
BC09,442503,4963027,NA,0,0,0,0,2017,Baker,Baker,Baker,1.004728913
BC10,470725,4967905,NA,0,0,0,0,2017,Baker,Baker,Baker,0.610255599
BC11,474702,4961303,NA,0,0,0,0,2017,Baker,Baker,Baker,0.590535462
BC12,458179,4973504,NA,0,0,0,0,2017,Baker,Baker,Baker,0.776301682
BC13,460983,4959190,NA,0,0,0,0,2017,Baker,Baker,Baker,1.034407616
BC14,471167,4954573,NA,0,NA,0,0,2017,Baker,Baker,Baker,0.407332331
BC15,449053,4976770,NA,0,0,0,0,2017,Baker,Baker,Baker,0.911398172
BC16,466826,4964496,0,0,0,0,0,2017,Baker,Baker,Baker,0.809889317
BC17,478419,4963373,NA,NA,0,0,0,2017,Baker,Baker,Baker,0.731434226
BC18,449214,4950435,NA,NA,NA,0,0,2017,Baker,Baker,Baker,0.663302243
BC19,451228,4960096,NA,0,1,0,0,2017,Baker,Baker,Baker,0.784988284
BC20,462771,4938870,0,0,0,0,0,2017,Baker,Baker,Baker,0.490374088
BC21,456425,4953595,NA,0,0,0,0,2017,Baker,Baker,Baker,0.597267091
BC22,477106,4954136,NA,0,0,0,0,2017,Baker,Baker,Baker,0.509990513
BC23,460480,4951887,NA,1,0,0,0,2017,Baker,Baker,Baker,0.667080581
BC25,465029,4947363,1,0,1,0,1,2017,Baker,Baker,Baker,0.337285995
BC26,444477,4958287,NA,0,NA,0,0,2017,Baker,Baker,Baker,0.763849497
BC27,447867,4981218,NA,0,0,0,0,2017,Baker,Baker,Baker,0.784780622
BC28,472330,4941109,1,0,0,0,0,2017,Baker,Baker,Baker,0.480138212
BC29,467620,4947284,0,0,0,0,1,2017,Baker,Baker,Baker,0.241446972
BC30,441822,4974727,0,0,0,0,0,2017,Baker,Baker,Baker,0.594363391
BC31,443772,4987810,NA,0,0,1,0,2017,Baker,Baker,Baker,0.424695879
BC32,456454,4960815,NA,0,0,0,0,2017,Baker,Baker,Baker,0.693926215
BC33,445681,4968875,1,NA,1,1,0,2017,Baker,Baker,Baker,0.735444188
BC34,445870,4965109,NA,1,1,0,0,2017,Baker,Baker,Baker,0.772361875
BC35,454008,4972968,NA,0,0,0,0,2017,Baker,Baker,Baker,0.656393051
BC36,450677,4985075,NA,0,0,0,0,2017,Baker,Baker,Baker,0.32592684
BC37,442466,4955432,NA,NA,NA,0,0,2017,Baker,Baker,Baker,0.750384927
BC38,446885,4971927,0,0,0,0,0,2017,Baker,Baker,Baker,0.888994753
BC39,475630,4957119,NA,0,0,0,0,2017,Baker,Baker,Baker,0.586637616
BU01,421146,4874817,NA,0,NA,0,0,2017,Bully Creek,Bully,Malheur,0.719552755
BU06,443325,4879325,NA,0,0,0,0,2017,Bully Creek,Bully,Malheur,0.596704721
BU07,432759,4861519,0,NA,0,0,0,2017,Bully Creek,Bully,Malheur,0.395832896
BU09,411896,4869345,NA,NA,NA,0,0,2017,Bully Creek,Bully,Malheur,0.830166876
BU10,430269,4877221,NA,1,1,1,0,2017,Bully Creek,Bully,Malheur,0.979855716
BU11,428332,4856563,1,NA,0,0,0,2017,Bully Creek,Bully,Malheur,0.466502875
BU12,416732,4874243,NA,0,0,0,0,2017,Bully Creek,Bully,Malheur,0.740274727
BU13,409820,4883035,NA,0,NA,0,0,2017,Bully Creek,Bully,Malheur,0.411072701
BU14,446679,4875049,NA,0,0,0,0,2017,Bully Creek,Bully,Malheur,0.843478918
BU15,427022,4860593,0,NA,NA,0,0,2017,Bully Creek,Bully,Malheur,0.418934345
BU16,408161,4873429,NA,NA,NA,0,0,2017,Bully Creek,Bully,Malheur,0.386450499
BU17,430313,4868219,0,NA,NA,0,0,2017,Bully Creek,Bully,Malheur,0.612405896
BU18,429532,4884358,1,NA,0,1,0,2017,Bully Creek,Bully,Malheur,0.945080936
BU20,435934,4854612,0,NA,0,0,0,2017,Bully Creek,Bully,Malheur,0.346299797
BU21,432775,4864967,NA,NA,NA,0,0,2017,Bully Creek,Bully,Malheur,0.535442233
BU22,441262,4874370,NA,0,0,0,0,2017,Bully Creek,Bully,Malheur,1.127260685
BU23,432775,4864967,NA,0,0,NA,0,2017,Bully Creek,Bully,Malheur,0.535442233
BU25,438538,4872134,0,NA,0,0,0,2017,Bully Creek,Bully,Malheur,0.833291829
BU26,420986,4878835,NA,0,0,0,0,2017,Bully Creek,Bully,Malheur,0.463599622
BU28,416735,4879375,NA,NA,0,0,0,2017,Bully Creek,Bully,Malheur,0.571350694
BU30,420861,4869697,NA,0,1,0,0,2017,Bully Creek,Bully,Malheur,0.654516637
BU31,433432,4877886,NA,0,0,0,0,2017,Bully Creek,Bully,Malheur,0.700010002
CR01,419055,4844448,NA,1,0,0,0,2017,Crowley,Bully,Malheur,0.404537827
CR03,419929,4835775,0,NA,0,0,0,2017,Crowley,Bully,Malheur,0.78741163
CR04,418476,4826681,0,NA,0,0,0,2017,Crowley,Bully,Malheur,1.042485952
CR06,454029,4832169,NA,NA,0,NA,NA,2017,Crowley,Bully,Malheur,0.366538316
CR07,444875,4830769,0,NA,0,0,0,2017,Crowley,Bully,Malheur,0.680770218
CR12,418338,4840801,NA,0,0,0,0,2017,Crowley,Bully,Malheur,0.573591888
CR13,445629,4825776,0,NA,0,0,0,2017,Crowley,Bully,Malheur,0.600268185
CR14,438975,4823620,0,NA,0,0,0,2017,Crowley,Bully,Malheur,0.678844035
CR15,424144,4822766,1,NA,0,0,1,2017,Crowley,Bully,Malheur,1.163835883
CR16,424733,4835155,0,NA,0,0,0,2017,Crowley,Bully,Malheur,0.58929342
CR19,414706,4840918,NA,1,0,0,0,2017,Crowley,Bully,Malheur,0.447690398
CR21,432257,4816037,0,NA,0,0,0,2017,Crowley,Bully,Malheur,0.67520541
CR22,436431,4830085,NA,0,1,0,1,2017,Crowley,Bully,Malheur,0.292718261
CR23,443556,4836423,NA,0,0,0,0,2017,Crowley,Bully,Malheur,0.559821129
CR24,446735,4823532,NA,0,0,0,0,2017,Crowley,Bully,Malheur,0.48079896
CR25,424139,4837755,NA,0,0,0,0,2017,Crowley,Bully,Malheur,0.243140981
CR26,415159,4827240,NA,0,0,0,0,2017,Crowley,Bully,Malheur,0.798921704
CR28,441592,4824061,NA,0,0,0,0,2017,Crowley,Bully,Malheur,0.459034204
