PC.ID,UTM_E,UTM_N,n_1,n_2,n_3,n_4,n_5,Year
BC01,441477,4970303,0,0,0,0,0,2017
BC02,441542,4989019,NA,0,0,0,0,2017
BC03,481713,4959980,0,0,0,0,0,2017
BC04,473156,4966935,0,0,0,0,0,2017
BC05,451163,4973509,NA,0,0,0,1,2017
BC06,459510,4946667,NA,NA,NA,0,0,2017
BC07,455867,4957080,NA,0,0,0,0,2017
BC08,436054,4977007,0,0,0,0,0,2017
BC09,442503,4963027,NA,0,0,0,0,2017
BC10,470725,4967905,NA,0,0,0,0,2017
BC11,474702,4961303,NA,0,0,0,0,2017
BC12,458179,4973504,NA,0,0,0,0,2017
BC13,460983,4959190,NA,0,0,0,0,2017
BC14,471167,4954573,NA,0,NA,0,0,2017
BC15,449053,4976770,NA,0,0,0,0,2017
BC16,466826,4964496,0,0,0,0,0,2017
BC17,478419,4963373,NA,NA,0,0,0,2017
BC18,449214,4950435,NA,NA,NA,0,NA,2017
BC19,451228,4960096,NA,0,1,0,0,2017
BC20,462771,4938870,0,0,0,0,0,2017
BC21,456425,4953595,NA,0,0,0,0,2017
BC22,477106,4954136,NA,0,0,0,0,2017
BC23,460480,4951887,NA,1,0,0,0,2017
BC25,465029,4947363,1,0,1,0,2,2017
BC26,444477,4958287,NA,0,NA,0,0,2017
BC27,447867,4981218,NA,0,NA,0,0,2017
BC28,472330,4941109,2,0,0,0,0,2017
BC29,467620,4947284,0,0,0,0,2,2017
BC30,441822,4974727,0,0,NA,0,0,2017
BC31,443772,4987810,NA,0,0,2,0,2017
BC32,456454,4960815,NA,0,0,0,0,2017
BC33,445681,4968875,2,NA,2,1,0,2017
BC34,445870,4965109,NA,1,1,0,0,2017
BC35,454008,4972968,NA,0,0,0,0,2017
BC36,450677,4985075,NA,0,0,0,0,2017
BC37,442466,4955432,NA,NA,NA,0,0,2017
BC38,446885,4971927,0,0,0,0,0,2017
BC39,475630,4957119,NA,0,0,0,0,2017
BU01,421146,4874817,NA,0,NA,0,0,2017
BU06,443325,4879325,NA,0,0,0,0,2017
BU07,432759,4861519,0,NA,0,0,0,2017
BU09,411896,4869345,NA,NA,NA,0,0,2017
BU10,430269,4877221,NA,1,1,2,0,2017
BU11,428332,4856563,1,NA,0,0,0,2017
BU12,416732,4874243,NA,0,0,0,0,2017
BU13,409820,4883035,NA,0,NA,0,0,2017
BU14,446679,4875049,NA,0,0,0,0,2017
BU15,427022,4860593,0,NA,NA,0,0,2017
BU16,408161,4873429,NA,NA,NA,0,0,2017
BU17,430313,4868219,0,NA,NA,0,NA,2017
