PC.ID,UTM_E,UTM_N,Day_1,Day_2,Day_3,Day_4,Day_5,Obsv_Exp_1,Obsv_Exp_2,Obsv_Exp_3,Obsv_Exp_4,Obsv_Exp_5,tsunrise_1,tsunrise_2,tsunrise_3,tsunrise_4,tsunrise_5,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Year,annual1200,annual2100,annual3600,bare1200,bare2100,bare3600,per1200,per2100,per3600,shrub1200,shrub2100,shrub3600,sage1200,sage2100,sage3600,tree1200,tree2100,tree3600,tri1200,tri2100,tri3600,tpi1200,tpi2100,tpi3600,Elevation,RoadsAll1200,RoadsAll2100,RoadsAll3600,RoadsPrimary1200,RoadsPrimary2100,RoadsPrimary3600,Ag1200,Ag2100,Ag3600,Dist_Landfill_km,D0.5k_DIST_LANDFILL,D1k_DIST_LANDFILL,D2k_DIST_LANDFILL,D5k_DIST_LANDFILL,D10K_DIST_LANDFILL,Dist_Ag,D0.5k_DIST_AG,D1k_DIST_AG,D2k_DIST_AG,D5k_DIST_AG,D10k_DIST_AG,Dist_Power_km,D0.5k_DIST_POWER,D1k_DIST_POWER,D2k_DIST_POWER,D5k_DIST_POWER,D10K_DIST_POWER,RIP_DIST,Riparian1200,Riparian2100,Riparian3600,BurnSev10y_1200,BurnSev10y_2100,BurnSev10y_3600,BurnProp10y_1200,BurnProp10y_2100,BurnProp10y_3600,BurnSev5y_1200,BurnSev5y_2100,BurnSev5y_3600,BurnProp5y_1200,BurnProp5y_2100,BurnProp5y_3600,BurnSev3y_1200,BurnSev3y_2100,BurnSev3y_3600,BurnProp3y_1200,BurnProp3y_2100,BurnProp3y_3600,BurnSev1y_1200,BurnSev1y_2100,BurnSev1y_3600,BurnProp1y_1200,BurnProp1y_2100,BurnProp1y_3600,DIST_FIRE_1y,DIST_FIRE_3y,DIST_FIRE_5y,D0.5k_DIST_FIRE_5y,D1k_DIST_FIRE_5y,D2k_DIST_FIRE_5y,D5k_DIST_FIRE_5y,D10k_DIST_FIRE_5y,DIST_FIRE_10y,D0.5k_DIST_FIRE_10y,D1k_DIST_FIRE_10y,D2k_DIST_FIRE_10y,D5k_DIST_FIRE_10y,D10k_DIST_FIRE_10y,D0.5k_DIST_FIRE_3y,D1k_DIST_FIRE_3y,D2k_DIST_FIRE_3y,D5k_DIST_FIRE_3y,D10k_DIST_FIRE_3y,D0.5k_DIST_FIRE_1y,D1k_DIST_FIRE_1y,D2k_DIST_FIRE_1y,D5k_DIST_FIRE_1y,D10k_DIST_FIRE_1y,RavenDensity,RTHADensity,SWHADensity,CORA.RTHA,Study_Area,SA_CAT,County
BC01,441477,4970303,124,142,157,170,187,1,1,1,2,1,585,284,434,499,407,12.998,12.795,12.574,16.993,22.635,2017,0.212605381,21.80607414,0.216473045,0.352191887,0.317190647,0.315914574,0.17842432,0.183871841,0.185770569,0.045258932,0.066372166,0.069581881,0.038454435,0.060203109,0.062570357,0,0,4.14E-05,1.14062202,1.570147872,1.516639829,0.997334182,0.912837744,0.104479231,1067.319946,1.248704672,0.830836415,0.794065833,0.23146832,0.27900207,0.371316791,0,0.017433163,0.055279158,14.76731234,1.49E-13,3.86E-07,0.000621325,0.052158795,0.228383,0.605150998,0.298107239,0.545991977,0.738912699,0.886007202,0.941279556,1.43763094,0.056401367,0.23748972,0.48732917,0.750116922,0.866092906,0.358988957,0.00318408,0.003902947,0.04904367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,15.91965693,15.8879486,1.58E-14,1.26E-07,0.000354794,0.041686009,0.204171519,15.89024336,1.58E-14,1.26E-07,0.000354387,0.041666882,0.204124672,1.49E-14,1.22E-07,0.000349213,0.041422487,0.20352515,0,0,7.12E-218,1.38E-87,3.72E-44,0.977134883,0.845016599,0.315640986,0.825695196,Baker,Baker,Baker
BC02,441542,4989019,NA,142,157,170,184,NA,2,1,1,1,NA,377,201,314,79,NA,14.575,12.882,18.228,22.625,2017,0.218735561,17.26763344,0.137062168,0.175457993,0.164759884,0.145476179,0.239223423,0.231775761,0.231150208,0.119615688,0.145369597,0.185810146,0.077301869,0.07040864,0.078267932,0.017526882,0.078568454,0.107902308,4.110916615,4.012652397,4.009820461,-3.187613964,-1.909935236,-0.466185063,1158.709961,0.904908121,0.962630928,1.288290858,0,0.180563256,0.229114041,0,0,0,19.35374613,1.55E-17,3.93E-09,6.27E-05,0.020842748,0.144370176,0.293233941,0.556288696,0.745847636,0.863624708,0.943039803,0.971102365,5.284902848,2.57E-05,0.005067524,0.071186547,0.34750349,0.589494267,0.168154354,0.012935324,0.009236974,0.008888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,34.61386738,34.58720815,9.08E-31,9.53E-16,3.09E-08,0.00099036,0.031469992,34.58943152,9.04E-31,9.51E-16,3.08E-08,0.00098992,0.031462996,8.61E-31,9.28E-16,3.05E-08,0.000985094,0.031386207,0,0,7.12E-218,1.38E-87,3.72E-44,0.396172106,0.5068717,0.046796333,0.200808429,Baker,Baker,Baker
BC03,481713,4959980,124,135,153,166,191,1,2,1,1,1,363,529,419,688,182,15.111,5.794,14.239,14.412,27.287,2017,0.356318855,36.12324142,0.343444595,0.200790424,0.184470902,0.179205647,0.180125389,0.198740406,0.206776047,0.037335422,0.032008471,0.043876338,0.0327631,0.025566657,0.032855129,0.000120914,0.002616688,0.00700259,5.369196415,4.713048458,4.303154469,0.953256726,1.31905818,-1.209926605,892.5360107,0.457364976,0.836422086,0.996271014,0.390529603,0.71295774,0.758740544,0.078606963,0.138294414,0.270359308,13.45602538,2.05E-12,1.43E-06,0.001196909,0.067799187,0.26038277,0.523462554,0.351015426,0.592465548,0.769717837,0.900601405,0.949000213,2.447017283,0.007491138,0.08655136,0.294196125,0.612991961,0.782938032,0.337152022,0.017512437,0.015741885,0.054063018,0,0,0.014792703,0,0,0.009110006,0,0,0.017423991,0,0,0.010281924,0,0,0.012602897,0,0,0.00616832,0,0,0,0,0,0,1000,3.340093967,3.343791819,0.001246291,0.035302842,0.187890504,0.512344328,0.715782319,3.337548132,0.001261951,0.035523951,0.188477986,0.512984511,0.716229371,0.001255542,0.035433628,0.188238221,0.512723383,0.716047054,0,0,7.12E-218,1.38E-87,3.72E-44,1.01550889,0.770111084,0.159908339,0.782054652,Baker,Baker,Baker
BC04,473156,4966935,124,142,157,173,184,1,1,2,1,1,472,367,290,473,289,12.433,13.847,14.019,16.651,23.007,2017,0.150278606,15.78736973,0.189641399,0.124989052,0.121569014,0.138699007,0.27753233,0.266771488,0.267206001,0.142927361,0.140024738,0.116237497,0.084310446,0.076772785,0.06139545,0.089446764,0.10687891,0.070153303,3.96127677,4.108496189,4.194313049,4.00483036,1.608151436,1.305511713,1330.660034,1.730872512,1.356741905,0.981918752,0.036939681,0.302435547,0.262789577,0,0,0,22.65167269,2.11E-20,1.45E-10,1.21E-05,0.01077707,0.103812668,2.132472229,0.014052648,0.118543864,0.344301995,0.652793491,0.807956367,3.489438899,0.000931348,0.030517991,0.174693993,0.49763531,0.705432711,0.334633625,0.011741294,0.015351591,0.016627971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,8.716305004,8.694999867,2.80E-08,0.000167421,0.012939121,0.175696013,0.419161083,8.71225928,2.71E-08,0.000164556,0.01282794,0.175090577,0.41843826,2.69E-08,0.000163892,0.012802018,0.174948961,0.418269005,0,0,7.12E-218,1.38E-87,3.72E-44,0.495933771,0.364969105,0.063808888,0.181000505,Baker,Baker,Baker
BC05,451163,4973509,NA,142,157,170,184,NA,1,1,1,2,NA,235,251,460,286,NA,14.575,12.882,18.274,22.234,2017,0.2681917,26.21633148,0.259333858,0.266510315,0.259551849,0.251200619,0.209963741,0.204212685,0.202324867,0.041935191,0.060180025,0.069320269,0.035037389,0.05273984,0.061268268,0.000197145,0.000255982,0.000514555,2.560715199,2.363951921,2.021281242,-0.626233876,-0.521417201,-0.290584207,894.5709839,0.555250525,0.445289344,0.426412165,0.567822635,0.457083315,0.431101114,0.020696517,0.069927797,0.202675506,23.58453929,3.27E-21,5.72E-11,7.56E-06,0.008942788,0.094566316,0.46575207,0.393960692,0.627662881,0.792251779,0.911056454,0.954492773,7.036202642,7.73E-07,0.00087946,0.029655688,0.24481792,0.494790784,0.142386555,0.039800994,0.036947895,0.134438917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,20.9821807,18.73257841,5.36E-17,7.32E-09,8.56E-05,0.023599832,0.153622368,18.74181984,5.26E-17,7.25E-09,8.52E-05,0.023556253,0.153480465,5.96E-19,7.72E-10,2.78E-05,0.015049114,0.122674832,0,0,7.12E-218,1.38E-87,3.72E-44,0.806027651,0.593677759,0.420381337,0.47852069,Baker,Baker,Baker
BC06,459510,4946667,NA,NA,NA,166,191,NA,NA,NA,2,1,NA,NA,NA,215,377,NA,NA,NA,12.648,24.218,2017,0.296941299,28.2466011,0.274410267,0.192887554,0.191200161,0.194664783,0.194083576,0.200874252,0.202582703,0.084043779,0.094338121,0.097603931,0.073042784,0.081113644,0.081729612,3.98E-06,3.25E-06,0.000419468,7.060357571,6.738613129,6.317784309,-1.917777896,0.850654483,0.35913685,1189.369995,1.106197357,0.789546072,0.864311755,0,0,0,0,0,0,22.01866524,7.50E-20,2.74E-10,1.65E-05,0.012231593,0.110596535,3.310503409,0.001332089,0.036497796,0.191043963,0.515766734,0.718169015,3.439848693,0.001028455,0.032069537,0.179079695,0.502595434,0.708939655,0.398509359,0.013930349,0.012944773,0.013244887,0.055323385,0.185455024,0.235533446,0.036019899,0.098159112,0.120840244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,5.075237836,4.238941467,0.000208019,0.014422851,0.120095174,0.428361295,0.654493159,0.776690626,0.211531522,0.459925561,0.678178119,0.856125651,0.925270583,3.91E-05,0.0062496,0.079054411,0.362385192,0.601984378,0,0,7.12E-218,1.38E-87,3.72E-44,0.632067561,0.535200238,0.1308624,0.338282709,Baker,Baker,Baker
BC07,455867,4957080,NA,135,153,166,191,NA,1,1,1,2,NA,241,174,332,86,NA,4.089,12.602,12.238,23.72,2017,0.1835005,20.11162376,0.209813137,0.227731342,0.233910751,0.243103104,0.19355423,0.203430042,0.205364494,0.172746277,0.13540103,0.115593691,0.15943284,0.12163208,0.101229706,5.97E-06,1.95E-06,1.38E-05,2.541897774,2.944702625,3.165372849,-2.032347679,-1.135416985,-0.167671487,1062.849976,1.531253219,0.912594736,0.832525611,0.557973325,0.322548956,0.235579059,0,0,0,19.24680657,1.92E-17,4.38E-09,6.62E-05,0.021293332,0.145922349,1.636645498,0.037881554,0.194631841,0.441170989,0.720846474,0.84902678,9.082728461,1.29E-08,0.000113611,0.010658855,0.162586406,0.403220046,0.053034125,0.012139304,0.015026345,0.020807076,0,0,0.040796019,0,0,0.020210061,0,0,0.039336652,0,0,0.019458264,0,0,0,0,0,0,0,0,0,0,0,0,1000,11.2078831,2.62137385,0.005285713,0.072702911,0.269634774,0.591984534,0.769405312,2.63758507,0.005117086,0.07153381,0.267458053,0.590068284,0.768159022,1.84E-10,1.36E-05,0.003683317,0.106290792,0.326022686,0,0,7.12E-218,1.38E-87,3.72E-44,0.861923635,0.491486788,0.480632454,0.423624079,Baker,Baker,Baker
BC08,436054,4977007,124,142,157,170,186,2,1,1,2,1,300,616,285,242,173,12.982,13.375,12.362,17.458,21.117,2017,0.130419903,13.51707554,0.150887842,0.13665473,0.157025957,0.185599613,0.213844776,0.214825993,0.21750557,0.301442795,0.275047169,0.228233585,0.240971146,0.226202431,0.192602406,0,1.24E-05,1.38E-05,4.316990852,3.879098177,2.943759441,3.240050793,2.083066225,0.734597623,1335.140015,0.533761501,0.517493844,0.862148583,0.53536129,0.518072724,0.856510937,0,0,0.085483693,8.518254128,3.99E-08,0.000199788,0.014134636,0.182017794,0.426635435,2.427227929,0.007793573,0.088281215,0.29712155,0.615422912,0.78448895,1.214175831,0.088182067,0.296954654,0.544935459,0.784400799,0.885664044,0.380128427,0.005572139,0.007480648,0.00983969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,22.96143691,22.94600701,1.17E-20,1.08E-10,1.04E-05,0.01016097,0.100801635,22.94497519,1.18E-20,1.08E-10,1.04E-05,0.010163067,0.100812037,1.14E-20,1.07E-10,1.03E-05,0.010129661,0.100646219,0,0,7.12E-218,1.38E-87,3.72E-44,0.5776636,0.78572315,0.187733665,0.453883663,Baker,Baker,Baker
BC09,442503,4963027,NA,142,166,173,186,NA,1,1,1,1,NA,225,600,409,339,NA,13.264,11.668,15.542,21.207,2017,0.181565018,18.16003609,0.182663326,0.283642979,0.287635765,0.286420841,0.190878429,0.193140068,0.200299778,0.127758484,0.11934617,0.111980124,0.117701941,0.108189449,0.100573578,0,7.05E-07,0.000111201,3.340700626,3.192136049,2.781476974,-2.670320034,0.624413908,0.425709993,1134.329956,0.133702919,0.708507836,0.896064878,0.10056112,0.414779127,0.377059668,0.006965174,0.046965457,0.10648977,13.45890122,2.04E-12,1.43E-06,0.001195189,0.067760202,0.260307899,1.047648469,0.123033705,0.350761607,0.592251304,0.810965558,0.900536262,1.51104046,0.048699773,0.220680249,0.469766165,0.739184231,0.85975824,0.167690547,0.008955223,0.020230275,0.084444441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,8.852509152,8.824789426,2.16E-08,0.000147042,0.012126105,0.171193996,0.413755962,8.827403015,2.15E-08,0.000146659,0.012110269,0.171104533,0.413647837,2.05E-08,0.000143022,0.011959198,0.170247532,0.41261063,0,0,7.12E-218,1.38E-87,3.72E-44,1.004728913,1.007188678,0.328036755,1.011951586,Baker,Baker,Baker
BC10,470725,4967905,NA,142,157,173,184,NA,1,2,1,1,NA,308,243,432,325,NA,13.962,14.118,16.599,22.625,2017,0.16376194,17.37306213,0.18100853,0.143873405,0.147349873,0.154141512,0.319828816,0.293249321,0.263284912,0.123891325,0.110549698,0.114225664,0.081126595,0.06899375,0.063506365,0.02620223,0.050784159,0.065022259,3.162285089,3.359563112,3.633614063,1.411599398,0.766098619,0.462497413,1268.890015,1.150570631,1.039538622,1.125500917,0.672831714,0.495926499,0.312790096,0,0,0,25.24944325,1.17E-22,1.08E-11,3.29E-06,0.006410047,0.08006277,3.391954738,0.001131841,0.03364285,0.183419872,0.507432822,0.712343191,3.355021151,0.001218613,0.034908632,0.186838518,0.511194963,0.714978994,0.477413127,0.024676617,0.021075912,0.016915424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,11.27988024,11.26631033,1.64E-10,1.28E-05,0.003577271,0.105055966,0.32412338,11.28589008,1.57E-10,1.25E-05,0.00354242,0.104645376,0.323489375,1.59E-10,1.26E-05,0.003553081,0.104771232,0.323683846,0,0,7.12E-218,1.38E-87,3.72E-44,0.610255599,0.332586318,0.063678533,0.202962663,Baker,Baker,Baker
